v	-0.8	0.239277	0.64
n	-0.901186	0.259055	0.347498
v	-0.822807	0.2	0.64
n	-0.90343	0.208826	0.37444
v	-0.8	0.2	0.641953
n	-0.903411	0.229875	0.361947
v	-0.8	0.2	0.632245
n	-0.911328	0.221475	0.34703
v	-0.830525	0.16	0.64
n	-0.906983	0.134412	0.399143
v	-0.8	0.16	0.644533
n	-0.898046	0.145198	0.415247
v	-0.8	0.16	0.622004
n	-0.939378	0.143864	0.311243
v	-0.834309	0.12	0.64
n	-0.919091	0.104862	0.379836
v	-0.8	0.12	0.647255
n	-0.901247	0.120581	0.41619
v	-0.8	0.12	0.611196
n	-0.966068	0.0987283	0.238674
v	-0.836496	0.08	0.64
n	-0.92809	0.0710045	0.365524
v	-0.8	0.08	0.649635
n	-0.917424	0.0741417	0.390943
v	-0.8	0.08	0.601748
n	-0.984685	0.0638019	0.162247
v	-0.837689	0.04	0.64
n	-0.941694	0.019068	0.33593
v	-0.8	0.04	0.651252
n	-0.909255	0.0212148	0.415698
v	-0.8	0.069108	0.6
n	-0.98977	0.0337006	0.138634
v	-0.803941	0.04	0.6
n	-0.990453	0.0187343	0.136569
v	-0.8	0.04	0.598924
n	-0.987246	0.0236965	0.157431
v	-0.838072	0	0.64
n	-0.942633	-0	0.333832
v	-0.8	0	0.651823
n	-0.910767	-0	0.412921
v	-0.805629	0	0.6
n	-0.989713	-0	0.14307
v	-0.8	0	0.598401
n	-0.98958	-0	0.143985
v	-0.837689	-0.04	0.64
n	-0.941694	-0.019068	0.33593
v	-0.8	-0.04	0.651252
n	-0.909255	-0.0212148	0.415698
v	-0.803941	-0.04	0.6
n	-0.990453	-0.0187343	0.136569
v	-0.8	-0.04	0.598924
n	-0.987246	-0.0236965	0.157431
v	-0.836496	-0.08	0.64
n	-0.92809	-0.0710045	0.365524
v	-0.8	-0.08	0.649635
n	-0.917424	-0.0741417	0.390943
v	-0.8	-0.08	0.601748
n	-0.984685	-0.0638018	0.162247
v	-0.8	-0.069108	0.6
n	-0.98977	-0.0337006	0.138634
v	-0.834309	-0.12	0.64
n	-0.919091	-0.104862	0.379836
v	-0.8	-0.12	0.647255
n	-0.901247	-0.120581	0.41619
v	-0.8	-0.12	0.611196
n	-0.966068	-0.0987282	0.238674
v	-0.830525	-0.16	0.64
n	-0.906983	-0.134412	0.399143
v	-0.8	-0.16	0.644533
n	-0.898046	-0.145198	0.415247
v	-0.8	-0.16	0.622004
n	-0.939378	-0.143864	0.311243
v	-0.822807	-0.2	0.64
n	-0.903431	-0.208826	0.37444
v	-0.8	-0.2	0.641953
n	-0.903412	-0.229875	0.361947
v	-0.8	-0.2	0.632245
n	-0.911328	-0.221475	0.34703
v	-0.8	-0.239277	0.64
n	-0.901186	-0.259055	0.347498
v	-0.76	0.349558	0.64
n	-0.849694	0.376749	0.36889
v	-0.782831	0.32	0.64
n	-0.856963	0.361347	0.367482
v	-0.76	0.32	0.641953
n	-0.833478	0.377967	0.403058
v	-0.76	0.32	0.632245
n	-0.85959	0.372837	0.349424
v	-0.794197	0.28	0.64
n	-0.85609	0.285726	0.430664
v	-0.76	0.28	0.646824
n	-0.843577	0.294251	0.449216
v	-0.76	0.28	0.612907
n	-0.895264	0.323992	0.305829
v	-0.799895	0.24	0.64
n	-0.901179	0.259108	0.347477
v	-0.76	0.24	0.653641
n	-0.845677	0.27466	0.457594
v	-0.76	0.260924	0.6
n	-0.938005	0.330916	0.103159
v	-0.770429	0.24	0.6
n	-0.950135	0.272033	0.152453
v	-0.76	0.24	0.596738
n	-0.946756	0.296264	0.126017
